EAN code	Vendorcode	Vendor SKU	Brand	Name	SRP price ex. VAT EUR	Your price ex. VAT EUR	Stock
6954273614621	DS-2CD2542FWD-I(4mm)	RSH-4343	Hikvision	Hikvision DS-2CD2542FWD-I (4mm) 4MP WDR Mini Dome Network	348.00	314.01	0
	DS-2CD2542FWD-IS (4mm)	RSH-4539	Hikvision	Hikvision DS-2CD2542FWD-IS (4mm) 4MP WDR mini dome	364.00	219.79	0
	DS-2CD2525FWD-IWS (2.8mm	RSH-5064	Hikvision	Hikvision DS-2CD2525FWD-IWS (2.8mm) 2MP Mini Dome Wifi	379.00	379.00	0
6954273600495	DS-2CD2612F-I	RSH-2533	Hikvision	Hikvision DS-2CD2612F-I 1.3MP Outdoor Vari-Focal Bullet	417.00	219.79	0
6954273607951	DS-7608NI-E2/8P/A	RSH-3187	Hikvision	Hikvision DS-7608NI-E2/8P/A 8 Channel 1U NVR	448.00	298.31	0
6954273626648	DS-2CD2642FWD-IZS	RSH-3914	Hikvision	Hikvision DS-2CD2642FWD-IZS, 4MP, 30m IR, WDR, I/O, Motorzoom	465.00	416.08	0
6954273600501	DS-2CD2632F-I	RSH-2534	Hikvision	Hikvision DS-2CD2632F-I 3MP Outdoor Vari-Focal Bullet	470.00	314.01	0
	DS-2CD2742FWD-I	RSH-4052	Hikvision	Hikvision DS-2CD2742FWD-I (2.8-12mm) 4MP WDR Vari-focal Dome Net	472.00	266.90	0
6954273626686	DS-2CD2742FWD-IZS	RSH-4060	Hikvision	Hikvision DS-2CD2742FWD-IZS	472.00	269.04	1
6954273602321	DS-7604NI-VP	RSH-3581	Hikvision	Hikvision DS-7604NI-VP Vertical PoE NVR	504.00	337.56	0
6954273642662	DS-2CD2635FWD-IZS	RSH-5061	Hikvision	Hikvision DS-2CD2635FWD-IZS 3MP Varifocal EXIR Bullet	540.00	540.00	0
5420016854988	DS-2CD2H35FWD-IZS	RSH-5056	Hikvision	Hikvision DS-2CD2H35FWD-IZS 3MP Varifocal EXIR Dome 2.8~12mm	541.00	541.00	0
6954273642686	DS-2CD2735FWD-IZS	RSH-5048	Hikvision	Hikvision DS-2CD2735FWD-IZS 3MP Varifocal Dome	543.00	543.00	0
6954273606466	DS-2CD6362F-I	RSH-3412	Hikvision	Hikvision DS-2CD6362F-I 6MP WDR Fisheye Network Camera	1004.00	714.42	0
6954273607722	DS-2CD6332FWD-I	RSH-3410	Hikvision	Hikvision DS-2CD6332FWD-I 3MP WDR Fisheye Network Camera	1005.00	588.80	0
