brand;sku;name;priceIncl;stockLevel;skip;skip;articleCode;skip;skip
CABLE;K8096.1;UTP CAT 5e  1mtr Rood;0;0.45;180;;CACAT5E020;KAU5E1;Kabels CAT 5E 1mtr
CABLE;K8456.2;UTP CAT 5e  2mtr Grijs;0;0.63;322;;CACAT5E003;KAU5E2;Kabels CAT 5E 2mtr
CABLE;K8094.3;UTP CAT 5e  3mtr Blauw;0;0.77;55;;CACAT5E021;KAU5E3;Kabels CAT 5E 3mtr
CABLE;K8095.3;UTP CAT 5e  3mtr Geel;0;0.77;35;;CACAT5E010;KAU5E3;Kabels CAT 5E 3mtr
CABLE;K8093.3;UTP CAT 5e  3mtr Groen;0;0.77;64;;CACAT5E015;KAU5E3;Kabels CAT 5E 3mtr
CABLE;K8096.3;UTP CAT 5e  3mtr Rood;0;0.77;117;;CACAT5E022;KAU5E3;Kabels CAT 5E 3mtr
CABLE;K8456.5;UTP CAT 5e  5mtr Grijs;0;1.13;103;;CACAT5E004;KAU5E5;Kabels CAT 5E 5mtr
CABLE;K8096.5;UTP CAT 5e  5mtr Rood;0;1.13;34;;CACAT5E024;KAU5E5;Kabels CAT 5E 5mtr
CABLE;K8456.10;UTP CAT 5e  10mtr Grijs;0;2.02;43;;CACAT5E005;KAU5E10;Kabels CAT 5E 10mtr
SNOM;2040;SNOM MeetingPoint (2040);0;648.66;1;;SNMP001;TECON;Telecom Conference Toestellen
SNOM;1122;SNOM HS-MM2 (1122) op=op;0;35.97;2;;SNHSMM2;TEHEBEDR;Telecom Headsets Bedraad
SNOM;1121;SNOM HS-MM3 (1121) op=op;0;35.97;4;;SNHSMM3;TEHEBEDR;Telecom Headsets Bedraad
SNOM;1256;SNOM HAF 320-370 op=op;0;15.59;1;;SNHAF320-370;TEBUSNAC;Telecom Snom Accessoires
SNOM;2362;SNOM EHS adapter (2362);0;47.96;40;;SNWHA;TEBUSNAC;Telecom Snom Accessoires
SNOM;2291;SNOM Vision Grey (2092) op=op;0;75;1;;SNV002;TEBUSNAC;Telecom Snom Accessoires
SNOM;2226;SNOM PA1;0;106.71;1;;SNPA1;TECON;Telecom Conference Toestellen
WIFILINK;WLG5000-3;WIFI-Link WLG-5000-30;0;71.2;4;;WLWLG5000-30;WIANTSEC;Wireless Antenne Sector
WIFILINK;WLG-5350-24;WIFI-Link WLG-5350-24;0;66.4;8;;WLGA53-24;WIANTSEC;Wireless Antenne Sector
WIFILINK;WLO-5775-12;WIFI-Link WLO-5775-12;0;30;11;;WLOA58-12;WIANTOMN;Wireless Antenne Omni
VALADIS;GHS12,8MM LLC400;WIFI-Link WL-HS400 / 10 pcs;0;3.2;27;;WLKRIMP;WIANTACC;Wireless Antenne Accessoires
WIFILINK;HYP-001T;WIFI-Link HYP-001T;0;15.4;16;;WLHYP001T;WIANTACC;Wireless Antenne Accessoires
WIFILINK;HYP-002;WIFI-Link HYP-002;0;45.6;9;;WLHYP002;WIAPACC;Wireless Accesspoints Accessoire
WIFILINK;LLC-200-CABLE;WIFI-Link LLC200;0;93.5;6;;WLLLC200;WIKALLC2;Wireless Antennekabels LLC200
WIFILINK;LLC-400-CABLE;WIFI-Link LLC400;0;179.77;7;;WLLLC400;WIKALLC4;Wireless Antennekabels LLC400
WIFILINK;7311C67311A01000-001;Outdoor Low Loss NP-NP-400-1.0;0;9.95;6;;WLLLC400-1;WIKANN;Wireless Antennekabels N-N
