EAN code	Vendorcode	Vendor SKU	Brand	Name	SRP price ex. VAT EUR	Your price ex. VAT EUR	Stock
0763649097991	ST3000VX010	RSH-4243	Seagate	Seagate 3TB Guardian SkyHawk Surveillance (ST3000VX010)	78.51	76.99	0
0763649098028	ST3000VN007	RSH-4251	Seagate	Seagate 3TB Guardian IronWolf NAS (ST3000VN007)	82.64	79.28	19
0763649094402	ST4000DM004	RSH-4753	Seagate	Seagate 4TB Guardian BarraCuda 3,5 inch HDD (ST4000DM004)	83.47	81.78	7
3660619400379	ST2000DX002	RSH-4236	Seagate	Seagate 2TB Guardian FireCuda SSHD (ST2000DX002)	85.12	84.11	0
7636490069840	ST2000LX001	RSH-4240	Seagate	Seagate 2TB Guardian FireCuda SSHD (ST2000LX001)	87.60	86.05	0
0763649097885	ST4000VN008	RSH-4252	Seagate	Seagate 4TB Guardian IronWolf NAS (ST4000VN008)	94.21	92.64	22
0763649097953	ST4000VX007	RSH-4244	Seagate	Seagate 4TB Guardian SkyHawk Surveillance (ST4000VX007)	101.65	100.02	0
7636490077999	STDR4000900	RSH-4414	Seagate	Seagate Backup Plus Portable - 4TB Zilver	109.09	107.07	5
0763649111307	ST2000NE0025	RSH-5153	Seagate	Seagate 2TB Guardian IronWolf Pro NAS  (ST2000NE0025)	109.92	106.41	0
763649078990	ST3000LM024	RSH-4263	Seagate	Seagate 3TB Guardian BarraCuda HDD (ST3000LM024)	111.57	109.76	0
7636490077906	ST2000NM0135	RSH-4580	Seagate	Seagate 2TB SAS 128MB Exos 7E8 (ST2000NM0135)	113.22	104.97	0
7636490071515	STDR4000200	RSH-4416	Seagate	Seagate Backup Plus Portable - 4TB Zwart	114.05	111.98	0
3660619400751	STDR5000200	RSH-4417	Seagate	Seagate Backup Plus Portable - 5TB Zwart	129.75	127.84	1
3660619400720	STDR5000201	RSH-4415	Seagate	Seagate Backup Plus Portable - 5TB Zilver	130.58	128.76	0
0763649078983	ST4000LM024	RSH-4264	Seagate	Seagate 4TB Guardian BarraCuda HDD (ST4000LM024)	135.54	133.35	0
0763649094426	ST6000DM003	RSH-4980	Seagate	Seagate 6TB Guardian BarraCuda HDD (ST6000DM003)	139.67	136.82	23
763649101155	ST4000NM0115	RSH-4491	Seagate	Seagate 4TB SATA III 128MB Exos 7E8 (ST4000NM0115)	142.15	133.04	0
0763649100783	ST4000DM006	RSH-4882	Seagate	Seagate 4TB Guardian BarraCuda Pro 3,5 inch HDD ST4000DM006	147.11	144.81	0
0763649110805	ST6000VN0033	RSH-5016	Seagate	Seagate 6TB Guardian IronWolf NAS (ST6000VN0033)	149.59	147.61	3
0763649101162	ST4000NM0125	RSH-4581	Seagate	Seagate 4TB SAS 128MB Exos 7E8 (ST4000NM0125)	151.24	142.08	0
0763649098134	ST6000VX0023	RSH-4245	Seagate	Seagate 6TB Guardian SkyHawk Surveillance (ST6000VX0023)	153.72	151.21	0
0763649078969	ST5000LM000	RSH-4265	Seagate	Seagate 5TB Guardian BarraCuda HDD (ST5000LM000)	174.38	171.74	0
0763649098196	ST8000VN0022	RSH-4255	Seagate	Seagate 8TB Guardian IronWolf NAS (ST8000VN0022)	186.78	186.09	16
7636490068744	ST6000NM0115	RSH-4578	Seagate	Seagate 6TB SATA III 256MB Exos 7E8 (ST6000NM0115)	186.78	176.39	5
0763649094419	ST8000DM004	RSH-4979	Seagate	Seagate 8TB Guardian BarraCuda HDD (ST8000DM004)	191.74	189.43	0
0763649111321	ST6000NE0023	RSH-5155	Seagate	Seagate 6TB Guardian IronWolf Pro NAS ST6000NE0023	197.52	193.82	0
7636490068720	ST6000NM0095	RSH-4582	Seagate	Seagate 6TB SAS 256MB Exos 7E8 (ST6000NM0095)	198.35	187.95	0
0763649098172	ST8000VX0022	RSH-4246	Seagate	Seagate 8TB Guardian SkyHawk Surveillance (ST8000VX0022)	200.00	196.92	0
0763649098165	ST6000DM004	RSH-4228	Seagate	Seagate 6TB Guardian BarraCuda Pro HDD (ST6000DM004)	220.66	217.55	0
7636490064593	ST8000NM0055	RSH-4278	Seagate	Seagate 8TB SATA III 256MB Exos 7E8 (ST8000NM0055)	232.23	220.86	0
7636490064654	ST8000NM0075	RSH-4583	Seagate	Seagate 8TB SAS 256MB Exos 7E8 (ST8000NM0075)	241.32	229.89	0
0763649116104	ST8000NE0004	RSH-4928	Seagate	Seagate 8TB Guardian IronWolf Pro NAS (ST8000NE0004)	246.28	242.64	0
0763649098158	ST8000DM005	RSH-4229	Seagate	Seagate 8TB Guardian BarraCuda Pro HDD (ST8000DM005)	247.93	244.34	0
07636490076565	ST10000VN0004	RSH-4256	Seagate	Seagate 10TB Guardian IronWolf NAS (ST10000VN0004)	255.37	255.52	20
7636490076558	ST10000VX0004	RSH-4247	Seagate	Seagate 10TB Guardian SkyHawk Surveillance (ST10000VX0004)	256.20	252.70	0
7636490069741	ST10000NM0016	RSH-4538	Seagate	Seagate 10TB SATA III 256MB Exos X10 (ST10000NM0016)	263.64	250.87	0
7636490077548	ST10000NM0096	RSH-4579	Seagate	Seagate 10TB SAS 256MB Exos X10 (ST10000NM0096)	288.43	277.91	1
7636490076534	ST10000NE0004	RSH-4259	Seagate	Seagate 10TB Guardian IronWolf Pro NAS (ST10000NE0004)	309.92	306.06	0
7636490076541	ST10000DM0004	RSH-4230	Seagate	Seagate 10TB Guardian BarraCuda Pro HDD (ST10000DM0004)	312.40	308.24	0
07636490077043	ST12000NM0007	RSH-4759	Seagate	Seagate 12TB SATA III 256MB Exos X12 Enterprise (ST12000NM0007)	316.53	302.30	0
